	4010 Dish 0 cGy sGCR	4015 Dish 0 cGy sGCR	4026 Dish 0 cGy sGCR	4104 Dish 0 cGy sGCR	4106 Dish 0 cGy sGCR	4181 Dish 0 cGy sGCR	4010 Dish 50 cGy sGCR	4015 Dish 50 cGy sGCR	4026 Dish 50 cGy sGCR	4104 Dish 50 cGy sGCR	4106 Dish 50 cGy sGCR	4181 Dish 50 cGy sGCR	4010 Dish 100 cGy Gamma	4015 Dish 100 cGy Gamma	4026 Dish 100 cGy Gamma	4104 Dish 100 cGy Gamma	4106 Dish 100 cGy Gamma	4181 Dish 100 cGy Gamma	4010 Rotation 0 cGy sGCR	4015 Rotation 0 cGy sGCR	4026 Rotation 0 cGy sGCR	4104 Rotation 0 cGy sGCR	4106 Rotation 0 cGy sGCR	4181 Rotation 0 cGy sGCR	4010 Rotation 50 cGy sGCR	4015 Rotation 50 cGy sGCR	4026 Rotation 50 cGy sGCR	4104 Rotation 50 cGy sGCR	4106 Rotation 50 cGy sGCR	4181 Rotation 50 cGy sGCR	4010 Rotation 100 cGy Gamma	4015 Rotation 100 cGy Gamma	4026 Rotation 100 cGy Gamma	4104 Rotation 100 cGy Gamma	4106 Rotation 100 cGy Gamma	4181 Rotation 100 cGy Gamma	QC-4	QC-5	QC-6	QC-7	QC-8	QC-End
Folic acid	12710804.65	13478510.44	12771121.69	6451297.562	7035096.459	6310206.02	4988049.124	5863018.86	6112254.171	8214714.014	4714960.851	6832538.038	7099889.197	4920374.965	3947394.193	5990652.517	5579793.192	5378009.903	4506358.627	8309492.489	7675787.996	11284857.9	3535327.905	11301739.96	7580926.85	3292583.937	4789382.658	4215749.424	5602665.523	4556865.145	5051855.325	3840199.755	5263168.157	4243376.633	4711793.225	5805285.477	6437311.246	6026099.9	6133465.963	5787328.272	6060026.567	6239262.289
Ascorbic acid	31299760.3	51948041.45	62950680.36	20293085.76	40600162.25	38517830.89	18456931.65	22132490.23	18271977.67	23044797.79	19708989.95	38275248.36	37411320.93	18995577.3	17472699.71	15977795.43	32035031.43	26722672.89	21143110.01	36657364.52	39460244.75	66930706.49	22543023.45	45151791.45	29501717.7	19726499.71	29433842.26	15809291.74	24529347.25	23584311.64	21263073.16	24056480.12	29143041.48	18524249.52	26350367.75	40231256.98	41361529.53	43510487.84	39066896.22	40316618.17	41600530.58	41661342.92
Methionine Sulfoxide	1157597.902	997897.3911	789811.3661	744066.7086	643921.1035	839067.2628	812503.3536	651510.8146	1147770.197	878146.7515	813863.1676	591743.0942	941986.3595	865682.97	1083092.892	756495.348	709366.9624	529046.541	344339.8693	696575.0854	615721.9922	996777.2185	368210.7746	976024.7665	466215.6148	389021.4877	410070.4783	559402.9534	372666.0593	830541.4538	507697.7336	599875.2475	276657.7347	345924.0909	514233.3212	527030.8809	779857.7457	758528.1795	841398.2201	794406.2746	773782.0476	777472.1356
Riboflavin	711033.9544	635667.3431	800699.702	406656.564	507774.457	469640.4851	470449.5872	374686.5281	337225.4463	362143.7811	438759.6194	405070.6027	570718.0496	464681.009	454655.521	372738.6068	367908.7626	361162.8756	380506.5822	514377.908	431449.9475	749841.5022	422714.0094	574404.4009	361156.9095	317374.6344	357188.9335	456216.346	424544.6199	473980.5268	426479.8525	380619.9433	409514.6191	379967.2703	478307.9544	484920.7725	389535.7468	346860.2446	375544.242	372723.4871	374475.1204	371747.1806
GABA	694730.422	794545.9715	3008416.05	540970.1939	2448051.06	2116927.159	991814.3872	3250354.117	7339313.576	641498.4798	2690102.63	2534269.016	878556.1513	3235285.216	8101214.679	721614.2293	2774133.386	2699222.882	516538.3457	1412668.747	1552977.846	809964.215	1645049.11	682948.9305	398847.5198	1496836.853	2423054.041	512130.4525	783541.6484	1818415.008	523109.3547	1050989.355	3154120.773	845759.1046	3009520.395	715025.2608	2061913.771	2184796.231	2041491.381	1988816.607	2055762.316	1965129.92
Aconitic acid	793852.8141	313699.5045	729891.1715	888824.7308	892906.8666	982975.0829	1083219.402	932552.5159	439122.6767	631423.8365	836682.2483	950286.2401	1107843.473	680863.1726	559749.225	437065.3248	1039938.252	460710.665	866921.1891	697470.6487	393029.1249	1283539.812	514206.505	335244.6285	589009.6692	636359.9822	358525.1896	542645.8392	414296.7244	325035.7309	390378.6394	271803.3409	259241.0339	635877.1635	718768.2524	282162.3841	847982.144	880348.1254	784030.5269	841838.1969	826693.3171	836683.3633
Acetylcarnitine	1142102.603	362763.4058	695548.2592	1215360.368	1055519.439	1226304.49	1498527.74	1104865.123	624316.8773	735138.6827	729512.354	1088653.619	1113823.398	998711.2352	857670.3541	657674.6296	715153.7353	930477.8211	1063096.448	794235.7139	664953.1537	952799.89	756292.3173	699278.6884	961008.9649	710132.2848	568989.0399	1224625.024	562316.5881	707316.8782	690226.109	269022.173	431286.4481	964943.0147	533809.7052	322237.7454	851166.4269	756816.42	812629.3116	780709.5314	798378.9087	797054.7496
NADP+	219651.7452	34208.98498	113874.2384	139702.284	154165.2338	230943.1248	220902.7715	133219.4748	73329.08981	89795.973	151603.3208	167500.5068	210531.0097	143177.4005	99316.41397	100552.4648	120011.0216	122931.5053	194613.5252	90670.25346	93068.48916	190578.1698	88953.21201	55125.90482	168936.6199	113819.1387	76285.77175	110108.0078	74983.55939	156756.2667	127627.2192	45210.34374	64065.07219	100669.6408	125060.1317	61558.3251	113672.639	111620.9967	118215.5319	125108.1922	117124.1357	116362.439
N-Acetylcadaverine	42083.56747	63663.585	96760.42599	21161.90143	41999.34083	40689.47228	17343.77844	32531.16609	27379.96168	30513.13832	25290.06937	43144.94378	38589.70177	19299.8797	17219.40166	19916.9958	37754.30274	32249.41025	17676.35612	47780.16458	45857.94628	73063.11651	21713.59422	59619.81265	33278.70421	22587.36006	23899.99781	19409.37505	20554.25539	22148.86119	20527.51619	21310.43531	25684.57704	13780.41175	33240.32758	32386.36287	40339.13608	40976.73704	38477.9301	40867.68979	43481.50846	40257.35832
Canavanine	1159.097076	21140.08163	79414.2005	67330.60054	26092.75608	12031.25163	8082.155957	58568.53139	109815.2746	145384.9178	109997.5449	14286.25681	9307.895762	63545.86172	152003.3983	66447.03985	190592.3102	10191.08113	6185.858322	5537.637577	55471.83472	47732.05924	7644.873728	1575.327232	6971.778274	3720.295452	13663.11674	12848.28021	14342.66807	6762.143498	16277.66003	370.6842981	4860.730178	18388.2724	52503.5523	19626.40144	45039.54121	44800.77297	42670.04378	42536.85635	46327.46985	41738.89381
