	4010 Dish 0 cGy sGCR	4015 Dish 0 cGy sGCR	4026 Dish 0 cGy sGCR	4104 Dish 0 cGy sGCR	4106 Dish 0 cGy sGCR	4181 Dish 0 cGy sGCR	4010 Dish 50 cGy sGCR	4015 Dish 50 cGy sGCR	4026 Dish 50 cGy sGCR	4104 Dish 50 cGy sGCR	4106 Dish 50 cGy sGCR	4181 Dish 50 cGy sGCR	4010 Dish 100 cGy Gamma	4015 Dish 100 cGy Gamma	4026 Dish 100 cGy Gamma	4104 Dish 100 cGy Gamma	4106 Dish 100 cGy Gamma	4181 Dish 100 cGy Gamma	4010 Rotation 0 cGy sGCR	4015 Rotation 0 cGy sGCR	4026 Rotation 0 cGy sGCR	4104 Rotation 0 cGy sGCR	4106 Rotation 0 cGy sGCR	4181 Rotation 0 cGy sGCR	4010 Rotation 50 cGy sGCR	4015 Rotation 50 cGy sGCR	4026 Rotation 50 cGy sGCR	4104 Rotation 50 cGy sGCR	4106 Rotation 50 cGy sGCR	4181 Rotation 50 cGy sGCR	4010 Rotation 100 cGy Gamma	4015 Rotation 100 cGy Gamma	4026 Rotation 100 cGy Gamma	4104 Rotation 100 cGy Gamma	4106 Rotation 100 cGy Gamma	4181 Rotation 100 cGy Gamma	QC-4	QC-5	QC-6	QC-7	QC-8	QC-End
Glutathione-NEM	119870125.6	20648203.53	37158337.95	140729441.9	116430578.7	169291316.2	141387804.2	138153500	95503615.79	73046150.2	134422944.1	152183752.5	85564299.75	152696460	136488282.7	54227057.05	113137508.6	105076541.3	201182060.1	107750388.4	52538454.09	95679043.73	157952554.1	81176275.27	91901625.66	141526966.1	65457967.14	133464346.8	69225643.89	146161345.3	99653537.26	81507701.01	58850202.41	124108115.5	136161086.5	49619464.53	108787331.2	100468599.5	108344274.6	98675163.28	97642126.05	97368144.32
Aminolevulinic acid	67582.02893	18977.74782	31686.13554	34021.48748	67600.23266	48736.63887	59141.03899	28304.94053	27729.91749	24305.61122	76616.23374	63079.90811	67854.18821	48854.37765	44539.56804	29385.82992	47329.13989	60278.03219	82606.02256	29203.59124	27973.50296	40108.6421	34443.50927	26230.4009	36001.35147	14246.93585	16875.38716	27942.03288	31501.57546	26986.68959	30685.76663	4403.677181	16012.4959	26774.77996	33501.17617	19605.31544	43414.33452	43121.31206	41688.10555	44752.902	38192.47591	42023.26706
Glutamine	5096566.379	5991420.442	7503630.873	3594700.152	5380637.564	5524160.151	3779555.419	3693734.659	3557286.237	3304542.448	3501144.847	4445334.249	4297812.405	2745906.508	2637096.646	1708193.847	3534496.763	3437019.837	3436965.348	4702171.919	5361225.766	8478346.276	2269990.915	5203682.795	4117293.139	2112894.395	2230138.508	1957420.885	1497471.572	4773343.996	2470439.415	2229862.838	1954989.562	1390451.109	3669715.836	2575721.332	4556063.749	4843777.205	4206017.736	4595261.556	4603880.519	4234360.592
Glucosamine	1689099.687	1669556.67	2039263.62	914821.9112	1406547.689	1369290.27	879893.0279	1028307.735	930956.9686	1026626.234	876135.4232	1035891.446	1485194.848	1002657.01	710749.4128	851918.5232	802419.2002	952086.5509	602530.1784	1341348.954	1313075.383	1607822.923	852376.3159	1586316.375	913322.082	620373.651	872291.4106	708698.6894	828082.5557	846365.4724	954964.8637	806545.7306	836193.4804	665881.0034	920376.2314	951460.3032	1024809.298	923009.8919	1065921.995	1008254.216	1021301.296	1080350.329
UMP	19326557.61	2620812.78	6351770.035	14277971.43	13404713.2	14130141.24	14180104.24	10287566.6	5902567.6	7938994.7	13028914.31	15943572.46	16841949.48	11983857.44	7500676.551	9579744.371	11744535.19	9967849.863	17460402.92	9515842.082	6104476.066	7371650.726	11957283.17	4967433.597	13128097.98	7898356.239	6733775.234	9922486.629	8691024.936	1302275.563	10676579.57	3110012.909	4625829.107	9479701.45	10741532.56	2153507.987	9507990.936	8665228.967	10221651.31	9501570.009	9266949.773	9759009.492
UDP-glucuronic acid	229731.9601	73961.05869	285112.7818	215071.0747	275720.9773	337761.4375	276911.0157	228773.6416	157919.9993	245090.9783	268449.9353	547813.384	600122.9142	222220.5103	203787.0564	241940.5131	492514.4963	349538.5142	252000.4472	169140.3414	157315.0474	444012.5828	139695.4319	134629.7006	227251.6197	147361.4251	125964.0321	126500.0344	122575.8971	149933.6193	202752.8555	98627.28728	116344.8455	240292.7712	296154.2674	140586.6489	296928.0196	299622.0868	272639.2654	295196.5871	324282.5052	301287.8824
Acetylcholine	1356367.027	902688.911	852284.9415	760444.7486	1034217.656	1052569.281	1035108.387	831291.4389	846012.5284	652841.4779	893500.177	924268.4986	935465.4714	858141.1611	948960.295	636917.2213	850281.0407	864790.7006	805574.0881	829349.6611	671118.0429	881640.6683	694038.1603	895233.3571	748362.7997	697175.5714	545110.9145	710105.5852	567013.9328	798543.2592	838954.7178	605052.5907	628067.5465	600638.9424	773069.1573	569213.558	895347.5761	840226.4532	852560.812	774679.0622	885299.4003	803825.0666
Lactic acid	40028140.45	25466643.7	29903233.7	27793143.96	31992868.57	33378335.16	26322531.42	19869277.06	17074348.14	21633012.5	16119103.1	31743156.18	38826474.54	12988961.72	13985727.56	15416112.42	26518535.77	19057515.94	30471937.92	25740002.59	23984183.85	68812316.48	15279326.04	27553073.11	22055943.26	12770550.23	12953433.02	15514063.81	18858375.71	15329993.27	15389622.33	9134740.134	9450477.628	15078636.73	15446057.24	15575829.24	38147283.86	39837812.87	34047640.83	35384422.8	37695024.47	36418654.07
Phenylalanine	192313075.5	148703699.1	85239220.99	303376348.7	170704886.4	209117693.8	414889709.2	336882640.4	285406861.4	319911614.8	291675144.7	247231511.3	300555886.8	305936727.8	329985111.6	242461411.4	231770237.8	257951284	278661989.7	190776661.1	131343479.7	105133450.9	268888337.1	183017055.6	147297610.7	292038331.6	213655601.1	364678531.5	198264575.1	452707608.9	335736019.8	380762426	240200028.6	238333290.3	303060479.3	262508918	325231477.7	297236694.9	302388927.2	292419380.5	281160549.3	279613204.2
C5:0-carnitine	169891.463	73852.94562	96735.96867	114380.2051	126490.5243	136318.1278	93234.56427	100067.5221	92171.76685	87565.48317	79585.93507	96792.10425	99497.66271	147457.9629	68689.93431	84276.78437	74458.19015	107095.066	45518.80428	89574.47805	74919.71262	127373.9651	71977.73276	101419.7006	57414.38062	42284.08399	37158.04551	69172.28985	78947.89688	68286.64685	55460.54704	38144.83739	33056.00291	82130.09493	60451.73924	24488.117	97520.63168	89760.42914	82171.72324	87358.0725	90062.81516	87338.84085
CMP	4710909.49	900536.7382	1358417.493	1540596.071	1922983.535	2214843.423	2698757.019	1353924.307	1062630.968	1202273.329	1607769.915	1814706.044	5458344.231	1775038.426	1277315.995	1587413.407	1462226.04	2003317.667	1664686.981	1384400.785	1123063.599	1479763.739	1046408.531	1033258.09	2063046.618	810538.454	853663.194	947609.6091	795466.6473	316361.2304	1461699.181	551079.6975	644127.6239	950318.6693	1181147.235	516607.6969	1391730.797	1310624.636	1549434.099	1454362.25	1421991.279	1488820.315
Acetyl-CoA	170494.4841	34350.98971	152361.251	66971.45934	148476.6539	77420.0761	180437.5595	160476.8534	170207.9012	104558.476	127408.2173	217781.0711	53169.78344	108683.7503	111562.6912	66810.1081	110947.6697	50069.61119	65531.95187	123862.7477	116124.1334	177868.7696	50641.58739	119505.0928	117607.98	55863.76091	71233.73649	101420.7122	100969.3633	182526.7615	44203.15705	80715.38627	90610.19516	75720.00595	112652.2819	155020.1478	115732.682	103876.6316	105744.61	101211.2008	105887.7067	115956.5903
Citicoline	468300.0661	22074.22022	63143.95153	210563.108	175225.1998	407870.2614	519586.1901	154471.782	109147.6336	119827.0096	252509.567	335114.4683	541362.1082	241009.4526	172477.476	134061.9393	225958.0884	245341.4652	272211.9523	146120.7752	102068.9919	377733.9256	133732.1337	114662.3972	262102.5288	128511.5963	99827.42289	126668.1534	128678.7745	203180.8403	155893.8143	47403.39438	90209.95479	132817.6765	148293.838	70856.88389	188152.1324	174936.8025	191876.2954	203715.7069	189203.0807	205214.4323
NMN	168588.6783	253959.5699	433207.0226	179630.2978	409620.3949	284057.0996	116058.2592	156835.5807	136578.352	218940.4131	343956.1728	323800.7418	236343.0737	247621.0855	108913.4836	294338.3505	120702.9807	231745.1529	59608.92977	179824.5622	218353.419	373108.2171	179284.9377	221741.3526	182311.0074	107637.8921	135946.1607	158960.8659	351555.734	112305.8839	85505.09314	126869.2072	136496.6447	198387.726	115623.4042	148625.5543	185024.9061	200803.262	218556.0606	196356.9604	201133.734	188789.4423
Trimethyllysine	420780.6279	347133.9516	333977.5519	328240.6821	295727.9069	317231.8274	322492.9629	288356.7709	347359.81	286998.3499	260661.2259	211345.8736	241476.1362	271908.8912	260398.6712	207642.5036	187337.9248	225701.3218	257841.6376	325485.0546	283097.1055	348387.9573	228348.0736	383606.7334	232067.3415	212917.5461	183665.9406	289704.6521	174411.9391	321623.0851	271013.4741	233009.9412	189329.0129	161717.3524	235587.9669	201559.937	290408.1748	263904.2472	261212.5797	275100.5086	279998.3937	244369.2953
Oxoadipic acid	8187.323796	156475.4041	321248.7907	82265.05832	10135.28755	18831.73624	59179.09722	14862.64156	14739.85255	100109.0171	74321.52055	98597.9229	12875.95281	56257.95216	139372.6831	63967.22603	109916.1986	104168.5896	75208.59067	7645.254322	7417.892254	250500.7395	69813.85507	147441.4194	55286.96657	58041.76113	81134.91846	54704.42286	89191.47491	77659.82256	77203.96993	64868.98341	69294.91093	56114.81105	61623.77842	142144.9843	16793.64587	17894.85897	17681.72956	18830.05149	15941.70084	18423.77795
N-Acetylneuraminic acid	142300.4733	25230.23115	10899.72562	176716.8137	139240.5043	164843.3223	106869.1041	70841.2474	63889.35944	161578.9869	141834.9458	171760.2865	230511.4249	109973.0586	89848.63458	239117.1924	225895.0734	162226.249	103862.2267	61655.16698	39972.45941	250750.8975	115169.7643	38426.31873	95062.28332	40719.26706	58049.90615	159258.1212	98914.84062	71071.96531	67773.28402	51852.14535	39120.29635	285378.3611	105632.9759	122348.9716	157283.3586	142989.8691	130855.5925	150468.6512	142438.8491	147560.3901
N-Acetylaspartylglutamic acid	756863.3995	385802.303	1050772.478	1551339.611	1604192.514	1590999.332	473217.5297	524989.4478	523067.8383	1086040.269	913610.8628	1087815.38	861802.7776	597472.2744	597396.6314	1019930.105	1298423.673	791833.4805	1101746.309	1441570.354	913404.0621	2772712.682	1021633.362	1125923.666	757034.1723	839462.2224	791755.271	836276.1565	457553.6933	600115.0544	526261.2346	493271.2556	591167.5281	1221784.723	1232056.572	477084.0878	1305790.476	1211517.482	1249084.798	1173732.611	1208729.751	1080779.073
Threonine	139851919.7	80666177.25	65271461.32	77743942.62	67403193.58	80759983.86	97250126.82	70570014.92	78247696.74	66810758.76	73002087.82	64365150.68	92556275.11	64579642.58	67307514.24	56585870.73	50994481.19	60051241.46	61613788.05	77898008.29	54797644.03	81488336.86	55639602.09	83196277.62	65183407	65047356.98	41350519.8	67536199.58	36957777.63	78690427.51	68972569.57	69941316.96	44040962.96	46075406.98	64279860.65	48070212.83	78720567.01	68606577.19	70044932.75	67846403.78	70257178.25	66035258.25
Choline	78767610.55	31955012.95	41780126.51	47741485.57	44870743.91	59241633.87	45145982.63	39478850.59	36563500.44	30724954.39	39261694	36987091.63	43983429.23	32848941.46	31785194.7	23083224.85	32680632.09	39878058.44	32299381.05	31004218.61	38523485.77	32729773.93	30296591.36	68912175	25564150.91	15833497.3	18996073.81	25840305.69	21786298.48	29749860.49	23205229.65	20330992.98	20379495.51	21850985.54	18545479.12	25758554.81	36011736.7	32179281.8	33428349.78	34608406.77	29854976.82	33391870
ADP	5073022.193	764909.4768	1772255.195	3494700.899	2656677.032	3485805.144	4039375.679	3074276.771	1948610.947	2098896.439	3049314.73	2500049.456	3445497.871	3030498.944	2421035.447	2086603.213	2330263.097	2054146.302	2481668.213	1975072.889	1291084.485	1976276.364	1992412.565	1304317.384	3160250.054	2311206.261	1227252.039	2584685.479	1770250.806	873267.8544	2583751.328	1436778.554	1216417.592	1925086.952	2590713.328	953603.3366	2107503.813	2186077.132	2355305.504	2147920.814	2012235.746	1974232.623
"1,3-Diphosphoglycerate"	66688.43705	78789.18232	92124.17191	49817.67221	95300.23856	81146.93876	58889.66747	58539.48592	39382.60468	49387.60648	47936.80056	65993.50196	99429.11914	37545.79639	41485.27958	23309.68352	53805.34976	41904.74175	42040.06614	86309.63887	86756.49903	138422.2682	37639.83807	75172.94619	42417.47282	40628.3685	29168.73311	32761.35521	28610.49047	31432.99244	36448.25105	21896.94854	22193.24825	27800.66141	69140.4148	46791.91944	64082.02396	71380.7986	64600.80493	67083.11793	63612.7517	58527.53753
FAD+	323967.2942	43901.77699	80012.37126	414974.6024	204738.207	292969.4724	613342.83	417041.8746	316839.1157	332835.9058	443426.9904	351574.4927	338415.8618	458171.6678	465735.8355	264873.4936	420959.3458	250652.9299	540685.7919	119381.057	102570.7857	138504.274	362717.4634	112186.7861	197443.4403	410579.553	222413.5079	546223.082	248725.5214	443445.8341	346250.1421	315732.5458	235693.034	533896.1763	453245.6769	188394.095	285449.7572	279011.647	281843.1359	251826.2989	252276.0043	247028.874
Carnosine	144234.4746	33240.42818	12670.3157	113634.1979	392697.2634	444966.0367	95504.72901	234159.4494	23032.45842	117510.3175	558425.0455	352209.422	501390.2652	516228.4385	91072.57523	259000.4556	427190.6214	568915.0891	127290.8101	128174.4999	10580.39549	162198.4358	206473.2841	31451.29486	86345.03984	107638.3523	15642.67688	33833.0927	38550.22705	315640.0264	163926.7608	69230.77485	32172.47624	237397.1166	529427.5564	90036.14897	184241.2351	171094.358	195464.945	195093.4903	185369.1575	165542.7771
Dopamine	1782782.995	52787.47601	42298.56405	337706.7101	327484.2895	643789.7334	558424.4669	144394.8126	196539.2799	214886.8393	248434.1584	220337.738	1396092.209	269845.6105	253833.1307	182768.1859	270864.0635	283165.3134	137038.5281	237144.7978	220395.8044	397243.5575	138715.2057	380655.7018	255422.374	146652.4318	134749.9051	117795.3369	172319.0763	268782.898	232998.923	145728.7619	163553.0747	257317.3048	222640.657	105822.0106	283334.3188	243497.042	270974.4296	282124.5682	246329.3549	278399.8164
Methylglutaric acid	641813.1293	359252.1808	562435.4471	396239.4096	596988.0425	926107.7312	503263.3678	446336.9901	249618.3665	427260.5904	433417.0954	646828.4201	722840.6004	183824.5346	1158837.857	174324.8082	457528.318	279792.667	563740.0492	476776.8679	284043.09	849549.9773	429975.6774	357921.1783	453155.4393	348897.6246	328028.222	312739.2456	235147.3837	317295.467	214470.4849	311732.0487	319481.9251	310048.142	305535.7155	446612.7208	723788.5233	722793.9824	651044.1288	717793.2789	803018.3641	701716.4227
NADH	1003648.524	41216.16883	102419.9487	240808.6696	221818.1288	648768.0536	949633.4055	176903.4927	60881.10804	57059.36297	130889.0208	340223.5466	645012.0456	189289.5616	117859.5744	66794.25921	64493.15636	227781.9845	496726.3599	240674.8407	185554.8303	690073.6558	241945.9858	175157	343518.6089	302206.0539	171900.3177	372440.6878	129689.2825	647000.7672	271183.9484	134481.9506	183172.0261	318403.5598	203799.5112	162191.7706	292977.8371	260533.4076	299944.844	310233.1988	277420.6896	267442.2385
NADPH	406815.871	49652.95366	110759.9597	164846.7833	205082.1096	351849.8787	325675.7321	142550.796	23238.34657	26327.34257	75916.23659	221163.8317	227566.9068	94334.04101	29676.28069	46437.05822	26130.62555	133173.724	285151.372	153884.7832	90302.63209	246465.0054	148864.37	123475.6831	205985.862	183507.1801	101446.7917	175878.9955	102867.9641	53519.29616	202223.9664	75466.27254	96869.2029	144862.5528	142835.2241	58441.8711	145290.3961	131211.7981	135885.5854	117221.4221	137329.7803	137595.5117
Homocitrulline	790323.8367	652847.0004	619498.5832	568368.8263	600129.0654	628446.7603	552347.9501	590091.0592	659846.9176	507181.1789	529990.1615	416403.4377	490805.5686	540844.5166	522938.0367	353490.9473	379640.4544	411662.1615	454965.7392	663877.0195	555409.6216	613867.7441	429252.3018	708370.7653	438592.0035	412292.3692	349409.6454	495077.1211	322626.3058	572592.7544	473679.2531	492078.0543	357916.0233	320458.0559	448280.2672	380408.9215	548455.0895	547215.4843	519515.9122	507491.259	477300.3879	460054.1684
C9:0-carnitine	368549.5646	23807.51886	53582.7312	131437.9368	161629.8802	186922.7348	146024.2565	60551.08337	49964.16859	26950.09049	55232.82332	67452.57639	120887.2559	53332.20997	33290.9536	29121.68412	43894.89263	52386.05949	86811.77187	102798.6751	56998.43797	151321.1311	38614.38908	41262.75861	118271.5832	37280.51897	20729.76148	45122.12141	19839.5417	28634.44366	40994.10122	18874.946	18942.57635	30040.47598	38202.15548	14202.47093	70201.4472	58013.61774	64731.41425	66377.48834	59311.55617	63448.20457
Cysteic acid	42851.0217	42631.63481	30604.76216	39531.46399	33978.30553	58995.5989	58054.41861	41107.05753	33015.94312	57900.28235	40216.90511	66092.36233	62011.40668	43863.40504	46984.24166	21671.5113	48818.61616	27344.77746	26704.51479	29470.34256	38336.20646	76927.00921	15675.61139	27440.96245	25794.85126	20466.37334	23030.62342	37351.04338	12877.80681	46450.91238	15879.15077	28119.9561	13444.23242	28200.73051	33381.75447	32525.56633	72825.79806	80810.27885	65083.69143	74377.50846	75517.81737	77483.03537
Asparagine	15675282.6	10072031.44	8607498.624	10383411.32	9187099.942	10104291.72	13278130.22	10214060.47	10610269.33	8963046.594	9688725.101	8988964.406	13938596.57	10844610.33	6144474.574	8556105.633	7545951.816	8208164.565	7695691.068	10456299.46	7966295.698	10212934.37	6936546.966	10461235.26	7542615.099	7249772.672	6058295.818	9303590.638	5356190.847	9559917.706	9259297.203	8361779.692	6265391.28	8146752.94	8833753.948	6435592.626	10311892.17	9390516.901	9898243.059	9277448.508	8818355.73	8482111.671
Leucine	94080837.37	73549029.41	60259472.37	64550534.54	60095633.26	61467311.25	65054360.76	58663487.69	59140822.45	55852187.28	45565863.99	47621175.1	64886245.41	56410460.82	48862821.54	40921691.19	37219206.23	45282860.06	44714081.64	69403097.83	53520624.28	66035284.83	37541946	71976637.28	43869552.56	41291626.48	30257761.77	53357956.83	29792290.6	67110364.07	51133634.17	46275413.2	34352853.04	33848507.22	47658188.66	37061896.43	61025000.5	56521080.51	58661272.62	55680065.65	52758538.53	49865288.61
dAMP	552098.6558	207377.5723	182010.6167	312325.3193	192874.7922	195571.6196	339223.8759	225478.018	124274.8926	228063.8608	202546.3493	245341.7174	647996.2159	198427.3165	119333.6803	328469.8817	243437.9277	190788.7033	170048.2278	240807.5091	135723.8546	260723.3939	106467.2489	152115.5088	232805.0146	112083.2952	113205.1788	163354.0271	147282.8308	52129.96978	174808.8222	94328.71523	76776.5239	135781.7307	138186.4498	141700.7936	190160.8558	178116.4205	217996.8581	202832.76	194902.307	184315.5814
Argininosuccinic acid	393381.8236	36928.4452	70882.94896	212415.9274	204308.2533	311121.5794	384367.7451	173686.2544	111037.2575	113182.2331	172055.4612	172624.5817	332888.9606	204281.4813	145583.6829	120129.0869	122566.0133	139550.5385	253087.9194	171698.2453	57982.3304	218073.391	195252.8233	89284.96128	158068.2871	129191.1796	90383.7188	125449.6166	83806.39365	218365.7349	159087.4549	53906.16305	85499.4539	145525.2224	164180.6593	60112.53398	144815.2355	160653.3827	162888.0255	174474.2542	155706.0411	144120.0541
Hypoxanthine	10440158.34	170308.8936	222518.1608	2108698.5	2533559.769	4313891.823	4501274.035	706339.7187	999846.8664	1075491.99	1490990.326	1379576.277	9000446.071	1889852.211	1457113.874	1048487.296	2019927.016	2312376.43	939104.2011	1596901.269	1547376.252	2948955.844	976303.6625	2808683.807	1736717.993	785892.6934	883464.273	659949.1397	1223823.058	1845423.307	1397592.628	604873.9664	1006125.793	1889251.536	1648722.843	679139.1825	1713109.334	1490209.3	1861151.702	1802333.462	1670634.573	1705705.42
Homoserine	47886.89645	13545.9486	39738.03997	28986.9434	31837.2255	50503.74301	25657.38101	17172.70368	24844.79031	22611.4164	24237.35833	32902.50145	27201.5381	13655.0299	32371.2988	21912.0686	24629.26104	23802.88238	17164.52546	26446.96209	19406.86858	25445.96512	13874.39223	27528.03464	35333.59855	16079.91623	15556.40942	19702.54988	9172.345324	13674.76191	11563.40438	15937.3632	15440.35643	10256.58007	11288.2598	21541.91991	26432.36448	21600.74891	26607.42664	25424.87354	26321.7207	25762.38334
Hydroxykynurenine	227957.9851	257761.99	248162.937	158507.7254	195576.9322	275800.5556	223492.5526	177586.6991	196977.4501	180346.5885	190721.4464	155395.9199	202180.7367	257397.1338	211208.8578	138608.6396	155080.8886	172978.9044	146365.5127	296165.5239	181135.1634	221699.6984	154114.5789	290769.4543	194077.9115	206725.0166	197287.5984	228676.7325	191369.0733	213465.8877	211400.5632	235306.2335	206086.8317	181944.2702	202637.6633	230920.4514	202446.0203	194441.5579	218107.3583	211203.26	183280.3667	178514.9618
Serine	9835347.845	7854683.564	8402346.306	10927208.54	7728620.05	8215841.682	6666437.53	5774622.089	11639804.24	8893834.056	9379038.764	5430184.862	8121220.291	7401295.251	10826640	8407862.33	6090435.172	8274328.676	5652983.388	10830288.21	12045107.79	6551467.721	9177270.885	18795299.01	6834065.981	10377876.69	8808333.944	11499491.8	8346227.268	17762434.29	10844178.61	15333102.36	11444365.64	8168110.442	10495260.37	13203928.32	9983529.31	8706857.093	9305377.005	9621715.594	8300738.775	8154735.126
SAH	2235052.672	361646.6268	378335.7342	1214115.539	794313.0588	1383134.715	1739468.877	1096958.235	864721.196	990668.414	855743.8684	991098.7924	1304844.896	959697.0337	939361.6738	751140.0097	727274.6794	746088.7652	824198.9505	924254.3363	487372.0313	1138414.068	819543.527	698468.3177	871259.4654	845952.7495	449643.1795	976969.6534	367657.8778	1372523.516	765815.6464	602010.7034	296609.1038	740333.1723	811255.3795	377870.9905	1060114.546	946847.9193	978102.545	986037.3386	1021762.386	819240.1501
Inosine	511114.114	152620.2963	188667.4069	491354.9138	418769.5515	610520.0977	679971.794	343230.1526	207232.5317	291356.7073	414154.9095	337017.358	496305.8746	422280.6148	370406.8248	249792.0007	306468.3588	349293.1995	440587.1304	294469.551	206626.7081	426378.1821	236020.1534	239235.7512	176643.2201	215933.4874	163878.9284	283136.4363	162271.7298	523265.3556	296261.849	136536.3352	120051.5448	287057.1431	300206.1893	146641.808	270033.4771	321694.9292	345343.2517	296459.3054	293388.1937	323651.2505
alpha-ketoglutaric acid	525854.1684	722124.3606	806764.0317	967571.6618	434346.1695	389711.4107	6080.10623	807551.7143	2501755.038	3803135.377	1460686.243	268429.6069	381160.3846	1785894.958	2666670.61	2163061.473	2018965.239	218383.4083	4409.09812	414450.0942	544078.2339	626918.567	163052.5044	404189.4113	220743.9551	4091.914818	205744.3326	5438.413348	212637.5533	5484.113691	307611.8423	379578.7339	4254.829128	292639.844	481415.6612	217793.8219	662010.2636	732487.1506	780703.2626	804674.5345	781364.9893	862255.227
Agmatine	43621.54214	29336.40503	8722.775874	81885.06265	54553.14915	41749.81098	42279.39686	30959.34774	38778.40017	55526.13006	95630.87194	38600.15038	34577.39698	45050.07456	48157.03788	52595.31614	62597.79441	31674.37372	26330.55315	36082.14797	10562.08009	31340.37312	53345.98682	1755.636828	32252.35925	25373.56377	21393.86061	35979.08441	21675.26571	37837.31473	52491.55729	28245.71134	23346.53136	60123.66227	37700.84403	17446.08749	33598.83286	30721.33207	32453.1556	31649.13562	30536.24865	25536.13731
Kynurenine	26888.65124	14136.09226	33131.00308	52082.80389	29237.43723	24711.35802	45478.42582	46469.10364	119240.1295	122460.7823	67413.20182	30106.7045	30695.12022	97788.86084	101275.641	86508.64478	79582.78011	25977.52307	27156.00218	36332.72766	30243.22239	21936.62208	27980.32965	23702.2227	13189.56069	17962.37345	28972.85095	10185.19561	23846.61206	29286.59237	21938.20226	68336.19259	14499.44159	59921.47298	45865.25402	29530.6055	44774.99769	39081.35687	39896.96519	42147.02888	33940.86036	42374.73516
Ornithine	1038313.96	621229.258	570538.6608	655714.8176	466802.4956	602872.0939	660585.899	666789.6501	737896.9977	674561.9517	563717.4542	597809.3355	885935.7542	927203.7762	441771.3837	634597.046	521990.5469	535274.7826	462369.5676	558405.6172	408421.1547	697889.9101	367517.7471	694150.2779	505600.2468	562574.1943	443701.8626	599704.4062	455828.7741	624805.362	623957.0106	593000.7645	330314.5742	633326.3688	543835.0834	489466.6549	708794.2409	659093.8673	614499.4758	545325.8091	641502.26	581537.0052
Suberic acid	42907.58364	22521.2824	20194.09226	181439.3471	55647.60039	150289.9977	30832.1189	202157.3944	536766.4739	500463.1773	360809.0637	38255.10049	33008.56185	318736.1282	669612.1437	138294.4821	744770.5537	32976.50055	34391.64351	5793.941833	71689.72241	121779.5296	86026.12717	2948.136613	41570.42225	27738.9121	8321.151568	79900.3082	71128.95559	7278.640336	58435.7577	161082.5301	8871.879122	115660.3193	134416.7094	116535.0283	246056.5949	249375.7614	196824.3914	232788.5361	260574.9875	236674.3941
Tryptophan	56805816.94	39776077.26	35170380	37468597.57	36231401.98	41659926.72	38216960.12	36173189.28	38833284.87	28434874.42	29947008.15	26013876.23	41909707.92	29692231.58	27635943.65	21774826.8	20223247.85	23907897.83	24442708.98	37787438.34	31993662.14	41644301.85	21039471.66	44317083.02	27662091.85	21129815.66	14780228.73	28898199.58	13568354.1	44167336.45	27570064.01	26584389.5	15832883.28	17770490.87	24971437.12	19016917.38	33199848.98	33471045.96	31499190.51	30163405.16	27163630.98	26852562.11
Hydroxyphenyllactic acid	39698.30924	34843.10824	47631.16819	22160.88889	34093.68565	32730.34924	28116.47272	23808.51232	15730.2756	35731.98437	29231.74078	42280.18646	34567.28422	20425.30736	23005.9417	14766.52069	22320.3488	26766.86007	25653.60953	19665.78002	33915.12589	53809.31403	12609.86877	26792.35783	23353.30168	14837.18637	13965.27995	13172.27448	10656.55004	33346.09339	16779.66986	9878.359757	15321.95702	12761.09494	24059.80427	20572.28101	34316.39722	36367.07777	32251.06749	31464.32555	32470.05215	27012.55362
Carbamoyl-Aspartic acid	86211.99002	74396.82234	134801.2863	164313.5481	146304.4138	206871.1393	71338.40635	152147.5565	73992.13764	89144.72137	89254.59724	189236.9067	73832.51845	87974.37863	59196.94615	52975.67451	74396.59228	99216.02849	178672.5067	334625.4025	60959.41224	207513.9569	120667.4476	103910.5458	107243.8821	107162.3619	85246.24146	62047.67078	36311.20322	125384.9075	76440.35259	70287.86681	47093.02905	45448.33832	95398.91509	77300.10049	136069.041	158220.8817	116515.8062	134258.8712	139586.9572	143825.0334
8-oxodG	169009.0862	81095.0216	41662.30869	167584.8278	116859.4934	154756.2056	146646.6593	121891.3055	111074.2476	127229.0596	83930.32899	113220.008	122827.3964	139445.0281	137748.5964	66887.64477	70286.4622	79504.93502	119215.8405	116506.6085	66069.4121	116083.4166	75342.35534	102994.3401	87364.85346	98947.59755	42655.13883	141707.8704	19203.857	150670.982	68020.08344	85832.88746	35418.55344	68635.11076	100304.2999	31523.66436	128835.3068	117724.5362	124741.4522	112568.5656	114608.2315	95455.16581
Guanosine	787233.1261	43414.29942	36373.27399	235822.3973	183548.0629	195183.2558	328502.731	169842.0559	187925.72	193478.2099	210209.6943	249479.1287	470516.0535	168970.6224	185368.9226	168029.1145	225027.6883	198426.3049	100015.3105	155384.7103	61257.07414	167809.0355	115404.9873	167265.4187	119847.7409	93941.6502	66326.0542	145893.5664	106820.6936	156346.1694	103385.0369	117363.2825	73406.27637	223531.0662	205125.016	80395.42318	187117.9547	166240.4434	190682.5189	150807.1221	172126.933	151114.1475
